entrez	symbol	duplicability	origin	essential_celllines_percentage	ppin_degree	ppin_betweenness	ppin_clustering	complexes	mirna	expressed_tissues_mRNA_GTEx	expressed_tissues_mRNA_protatlas	expressed_tissues_protein_protatlas	expressed_celllines_CLP	expressed_celllines_GNE	expressed_celllines_CCLE	germline_SNVs	germline_SVs	LOEUF_score
23	ABCF1	0	"Last Universal Common Ancestor"	36.178	102	15570.1	0.226364	1	83	30	41	41	934	675	1019	0.0639053		0.612
25	ABL1	0	"Last Universal Common Ancestor"	0.62333	369	234395	0.0577648	13	65	30	38	38	951	675	1019	0.0484479	0.000870322	0.176
27	ABL2	0	"Last Universal Common Ancestor"	0	69	3987.77	0.192242	4	103	30	36	36	958	675	1018	0.0679639	0.000564016	0.58
48	ACO1	0	"Last Universal Common Ancestor"	0	26	2265.63	0.107692	2	20	30	43	43	918	672	1007	0.11886		0.932
60	ACTB	38	"Last Universal Common Ancestor"	16.5728	609	435379	0.0728329	85	105	30	43	43	956	675	1019	0.00355556	0.00177778	0.232
71	ACTG1	38	"Last Universal Common Ancestor"	10.9926	218	48797.2	0.106836	51	71	30	43	43	941	675	1019	0.0284444	0.000888889	0.858
90	ACVR1	0	"Last Universal Common Ancestor"	0	104	35090	0.0683346	2	32	30	42	42	961	629	948	0.0523903		0.454
91	ACVR1B	0	"Last Universal Common Ancestor"	0	82	33114.2	0.0638362	7	69	30	39	39	958	665	999	0.0360195	0.0018315	0.172
92	ACVR2A	0	"Last Universal Common Ancestor"	0	89	17122.9	0.0574566	14	37	29	40	40	955	541	737	0.0220923	0.000649773	0.17
93	ACVR2B	0	"Last Universal Common Ancestor"	0.0892061	95	37613.4	0.074804	13	88	29	26	26	955	444	627	0.0559896	0.00130208	0.377
102	ADAM10	0	"Last Universal Common Ancestor"	0.206612	127	59714.3	0.03962	3	11	30	43	43	953	675	1019	0.0254011	0.0013369	0.117
107	ADCY1	0	"Last Universal Common Ancestor"	0.0893655	5	363.107	0	8	5	20	18	18	946	241	338	0.0250223	0.00059577	0.272
108	ADCY2	0	"Last Universal Common Ancestor"	0	10	253.319	0.0444444	7	22	20	18	18	937	45	47	0.0363581	0.00152765	0.261
109	ADCY3	0	"Last Universal Common Ancestor"	0.090009	51	10255.1	0.0282353	7	4	30	43	43		675	1007	0.0666095	0.000857633	0.681
111	ADCY5	0	"Last Universal Common Ancestor"	0.267857	10	281.321	0.133333	9	21	29	33	33	928	72	94	0.0443235	0.000777605	0.254
114	ADCY8	0	"Last Universal Common Ancestor"	0.0893655	15	396.943	0.047619	9	0	2	5	5	941	13	17	0.0618172	0.000266454	0.535
119	ADD2	0	"Last Universal Common Ancestor"	0	42	5754.86	0.0638792	2	51	5	16	16	951	271	392	0.0684114		0.274
120	ADD3	0	"Last Universal Common Ancestor"	0	49	6546.78	0.0646259	1	18	30	43	43	941	657	993	0.0826251	0.000472144	0.246
125	ADH1B	2	"Last Universal Common Ancestor"	0	9	747.779	0.0277778	2	24	28	35	35	943	15	16	0.0871111	0.00266667	1.241
143	PARP4	0	"Last Universal Common Ancestor"	0.0896057	23	1893.16	0.16996	0	4	30	43	43	934	670	1012	0.0522042	0.00135344	0.837
147	ADRA1B	0	Metazoans	0	18	815.699	0.111111	6	1	18	15	15	942	191	268	0.0455128		0.785
148	ADRA1A	0	Metazoans	0	39	4816.93	0.0445344	6	1	6	16	16		7	10	0.0933333	0.000701754	1.393
155	ADRB3	0	Metazoans	0	7	39.7435	0.285714	3	7	5	6	6	938	3	11	0.0759804		1.683
160	AP2A1	1	"Last Universal Common Ancestor"	0.374883	167	35013.8	0.125604	38	7	30	42	42	948	675	1019	0.0327533	0.00034118	0.101
162	AP1B1	2	"Last Universal Common Ancestor"	0.471698	147	30226.9	0.0999907	17	24	30	43	43	941	675	1019	0.0607657	0.000351247	0.263
173	AFM	0	Mammals	3.88788	10	247.637	0.0444444	0	0	2	2	2	943	5	6	0.0523094	0.00166945	1.304
176	ACAN	0	Eukaryotes	0	17	811.953	0.0441176	0	1	2	8	8	943	26	57	0.0340083	0.000129803	0.183
182	JAG1	0	"Last Universal Common Ancestor"	0	20	1171.92	0.178947	16	29	29	37	37	948	573	853	0.0577449	0.000273673	0.146
186	AGTR2	0	Vertebrates	0	13	549.305	0.0384615	3	11	1	8	8	942	2	1	0.0495868		1.312
187	APLNR	0	Vertebrates	0.26738	210	41565.7	0.0107086	3	2	26	33	33	950	11	21	0.0552632		0.499
207	AKT1	2	"Last Universal Common Ancestor"	0.709849	451	227159	0.0589111	24	68	30	43	43	948	675	1019	0.025	0.000694444	0.315
208	AKT2	1	"Last Universal Common Ancestor"	0.356189	88	21292.2	0.0736677	6	31	30	43	43	950	675	1019	0.047124		0.417
213	ALB	0	Vertebrates	0.178094	250	274344	0.0360482	6	1	25	19	19		31	47	0.0432403	0.000547345	0.387
215	ABCD1	0	"Last Universal Common Ancestor"	0.268577	54	4071.05	0.0824598	1	4	30	41	41	944	626	955	0.0447427	0.000447427	0.15
226	ALDOA	3	"Last Universal Common Ancestor"	53.2988	161	34098.3	0.140994	1	186	30	43	43	940	675	1019	0.11882	0.00239234	0.755
238	ALK	0	"Last Universal Common Ancestor"	0.183655	84	12740.6	0.0757315	1	2	2	2	2	938	49	71	0.0660494	0.00144033	0.448
239	ALOX12	0	Eukaryotes	0	9	150.721	0.0555556	0	2	24	27	27	947	408	41	0.0658622		1.039
242	ALOX12B	0	Mammals	0	91	19893.2	0.0307692	0	0	2	5	5	949	110	34	0.064194	0.00142653	0.552
273	AMPH	0	"Last Universal Common Ancestor"	0	56	3264.57	0.124675	14	1	24	22	22	942	145	208	0.0709832	0.00239808	0.569
280	AMY2B	5	"Last Universal Common Ancestor"	0.0972763	7	285.208	0.0952381	0	0	30	39	39		160	177	0.162427	0.00260926	1.723
283	ANG	0	Vertebrates	0.188857	17	829.547	0.0735294	2	45	30	39	39		469	545	0.0430839	0.00226757	1.893
284	ANGPT1	0	"Last Universal Common Ancestor"	0	7	236.371	0.238095	9	0	27	36	36		215	337	0.060241	0.00401606	0.337
286	ANK1	0	"Last Universal Common Ancestor"	0	47	9031.18	0.0582794	5	47	8	20	20	945	210	279	0.0762608	0.000351432	0.169
287	ANK2	0	"Last Universal Common Ancestor"	0	54	7067.03	0.0545073	5	4	27	35	35	957	210	340	0.0476792	0.000252717	0.106
288	ANK3	0	"Last Universal Common Ancestor"	0	75	22692.4	0.0544144	5	8	25	42	42	963	321	391	0.044018	0.000152311	0.089
290	ANPEP	0	"Last Universal Common Ancestor"	0	4	72.1591	0	1	6	30	38	38	952	237	360	0.0713547	0.000689417	0.638
302	ANXA2	3	"Last Universal Common Ancestor"	0	213	60421.5	0.116042	5	7	30	43	43	949	666	1014	0.0606909	0.00280112	0.808
316	AOX1	0	"Last Universal Common Ancestor"	0	6	47.0687	0	0	1	28	32	32	950	226	332	0.0906826	0.000996512	0.936
324	APC	0	"Last Universal Common Ancestor"	1.93322	248	82267.2	0.0452201	29	18	30	42	42		670	1007	0.080275	0.000233019	0.161
330	BIRC3	0	"Last Universal Common Ancestor"	0	1317	752711	0.0427678	21	3	29	42	42	965	466	638	0.0424945		0.519
338	APOB	0	Metazoans	0	106	44024.4	0.0440252	48	11	4	6	6	943	14	18	0.049748	0.0000730514	0.461
354	KLK3	1	"Last Universal Common Ancestor"	0	46	4443.08	0.036715	7	1	4	20	20		14	23	0.0344828	0.00127714	1.463
355	FAS	0	"Last Universal Common Ancestor"	0	141	33569.8	0.0447822	15	16	30	41	41		538	815	0.0119403		0.441
364	AQP7	7	"Last Universal Common Ancestor"	19.6817	6	48.8919	0	0	0	25	32	32		37	50	0.0779727	0.00194932	1.953
367	AR	0	"Last Universal Common Ancestor"	0.0899281	383	137991	0.0652331	20	94	26	25	25		150	204	0.0387681		0.291
369	ARAF	0	"Last Universal Common Ancestor"	0	298	35811.2	0.0979143	11	2	30	43	43	923	675	1019	0.0311987		0.33
373	TRIM23	0	"Last Universal Common Ancestor"	0	225	67681.1	0.0379365	1	20	30	43	43	940	669	1000	0.058072	0.00058072	0.58
374	AREG	0	Vertebrates	0	17	12178.6	0.0882353	37	3	27	32	32		290	308	0.0436508	0.00529101	0.823
387	RHOA	3	"Last Universal Common Ancestor"	8.01688	237	126132	0.0352571	38	86	30	43	43	891	675	1018	0.00863558	0.00345423	0.664
388	RHOB	2	"Last Universal Common Ancestor"	0.268817	46	4276.88	0.0657005	12	91	30	41	41	955	623	948	0.0187075	0.00170068	1.161
393	ARHGAP4	0	"Last Universal Common Ancestor"	0	11	237.631	0.0727273	0	0	30	42	42		373	546	0.0199459		0.313
394	ARHGAP5	1	"Last Universal Common Ancestor"	0	26	2288.34	0.0707692	0	9	29	43	43	954	657	984	0.0503773	0.000221926	0.263
399	RHOH	0	"Last Universal Common Ancestor"	0.0891266	35	3051.97	0.0302521	4	30	8	36	36	958	156	190	0.0541012		1.061
405	ARNT	0	Eukaryotes	0.183655	192	47003.3	0.0954407	10	21	30	43	43	954	675	1018	0.0494297	0.000422476	0.279
406	ARNTL	0	"Last Universal Common Ancestor"	0	95	11275.8	0.171109	16	33	30	43	43	957	621	921	0.0380349		0.277
414	ARSD	1	"Last Universal Common Ancestor"	0	1	0	0	0	25	29	42	42	958	494	735	0.0309162		0.858
435	ASL	0	"Last Universal Common Ancestor"	0	19	1231.99	0.0818713	1	0	30	43	43	945	675	1016	0.118534	0.000718391	0.936
460	ASTN1	0	Metazoans	0	3	3.69906	0	0	15	7	12	12	946	53	77	0.0762929	0.000512033	0.212
463	ZFHX3	0	Metazoans	1.06477	54	6759.32	0.102027	1	92	29	34	34	944	599	883	0.0771447	0.000270051	0.136
466	ATF1	1	Vertebrates	0.0892061	52	4476.87	0.104827	1	5	30	43	43		675	1019	0.0541205	0.00246002	0.477
472	ATM	0	"Last Universal Common Ancestor"	0.178094	238	82785.6	0.0620856	58	75	30	43	43	940	671	1014	0.078425	0.00021815	0.71
476	ATP1A1	3	"Last Universal Common Ancestor"	47.2441	213	59960.2	0.120914	0	24	30	43	43	923	675	1019	0.0244379		0.121
488	ATP2A2	2	"Last Universal Common Ancestor"	59.8058	188	34075.6	0.13807	4	55	30	38	38	955	675	1019	0.0265515	0.000639795	0.246
492	ATP2B3	3	"Last Universal Common Ancestor"	0	71	13620.1	0.0289738	0	14	3	4	4	950	31	57	0.0540984		0.222
495	ATP4A	0	"Last Universal Common Ancestor"	0.0898473	92	23351.5	0.0384615	1	1	4	3	3	932	7	4	0.0718196		0.747
506	ATP5F1B	1	"Last Universal Common Ancestor"	27.1001	358	164783	0.123609	6	20	30	43	43		675	1019	0.0441084	0.00063012	0.309
526	ATP6V1B2	2	"Last Universal Common Ancestor"	58.4596	162	24415.5	0.116862	6	37	30	43	43	901	675	1019	0.0463144		0.287
533	ATP6V0B	0	"Last Universal Common Ancestor"	55.7951	31	4186.82	0.0494624	5	23	30	43	43	927	675	1019	0.0446999	0.00127714	0.278
534	ATP6V1G2	0	"Last Universal Common Ancestor"	0	32	2959.87	0.193548	5	0	28	4	4		213	330	0.0677966		1.238
537	ATP6AP1	0	Metazoans	48.1434	59	6128.83	0.115137	1	51	30	43	43	944	675	1019	0.0276596		0.213
545	ATR	0	"Last Universal Common Ancestor"	37.3527	168	34066.1	0.0772027	12	4	30	40	40		675	1018	0.0426122	0.000630358	0.399
546	ATRX	0	"Last Universal Common Ancestor"	0.360685	101	6540.88	0.14297	2	12	30	43	43	905	675	1017	0.0219369	0.000267523	0.119
547	KIF1A	0	Eukaryotes	0.0911577	73	8701.86	0.0624049	1	9	11	15	15	944	178	247	0.0325703	0.000186116	0.136
563	AZGP1	1	Mammals	0.0890472	72	10868.3	0.0246479	2	1	24	30	30	952	227	249	0.0346756	0.00111857	1.475
567	B2M	0	-	0	69	11344.9	0.0797101	40	44	30	43	43	938	674	1017	0.0252101	0.00560224	0.709
577	ADGRB3	0	Metazoans	0	10	250.862	0	0	1	17	17	17		42	85	0.0571616	0.00131406	0.138
580	BARD1	0	"Last Universal Common Ancestor"	12.8373	292	54742.3	0.0673398	37	10	23	37	37	937	670	1003	0.0759331	0.001287	1.358
581	BAX	0	Metazoans	0.0898473	101	15096.6	0.0924753	7	16	30	43	43	941	675	1019	0.0392157	0.00603318	0.751
595	CCND1	0	"Last Universal Common Ancestor"	34.7548	237	47076.4	0.0810627	37	246	29	36	36	967	581	881	0.0384181		0.41
596	BCL2	0	Metazoans	3.3101	139	52345.4	0.0737149	14	67	27	38	38	932	353	467	0.0306834	0.0055788	0.712
602	BCL3	0	"Last Universal Common Ancestor"	0	54	1350.98	0.203354	2	36	30	42	42	951	638	936	0.0124816		0.221
604	BCL6	0	"Last Universal Common Ancestor"	0.356824	161	68767.9	0.0559783	7	13	30	43	43	967	586	865	0.0377715	0.000472144	0.33
605	BCL7A	0	Metazoans	0.177936	59	2051.78	0.181181	0	72	29	39	39	952	655	951	0.041847		0.725
607	BCL9	0	Vertebrates	0	19	1272.43	0.25731	3	10	30	36	36	927	671	999	0.0631136	0.000701262	0.381
608	TNFRSF17	0	Vertebrates	0.0890472	22	846.647	0.0735931	1	1	6	23	23	959	73	78	0.0887681	0.00543478	1.884
613	BCR	0	"Last Universal Common Ancestor"	0.551471	123	27971.6	0.139544	9	11	30	38	38	957	661	997	0.0498295	0.00157356	0.296
639	PRDM1	0	"Last Universal Common Ancestor"	1.60428	38	3242.84	0.118065	2	24	25	41	41	956	231	307	0.0606061	0.00121212	0.333
640	BLK	0	"Last Universal Common Ancestor"	0	144	60003.4	0.0374903	1	0	4	10	10	941	99	113	0.132673	0.00330033	1.168
641	BLM	0	"Last Universal Common Ancestor"	0.731261	126	11639	0.135746	33	3	8	16	16	945	672	993	0.0625735		0.751
653	BMP5	0	Metazoans	0	8	119.819	0.0357143	0	7	14	19	19	950	82	82	0.0873715	0.000734214	0.698
655	BMP7	0	Metazoans	0.44964	73	32798.4	0.0410959	1	22	20	27	27	939	272	350	0.0649652	0.00154679	0.57
657	BMPR1A	2	"Last Universal Common Ancestor"	2.39362	188	79178.7	0.0407327	7	111	29	35	35	949	576	944	0.0639098	0.00125313	0.355
659	BMPR2	0	"Last Universal Common Ancestor"	0.0892061	84	27340.9	0.0438898	6	49	30	37	37	949	659	986	0.0658317	0.000963391	0.191
666	BOK	0	Metazoans	0.0944287	7	308.493	0	0	1	29	36	36	955	518	758	0.0849057	0.00157233	1.017
667	DST	0	Eukaryotes	0.469484	120	21546.9	0.0788515	1	35	29	39	39	956	634	921	0.0351752	0.000426367	0.18
668	FOXL2	0	Eukaryotes	0.628366	67	3799.19	0.0624152	1	11	8	7	7	948	145	209	0.0248227	0.00177305	0.437
672	BRCA1	0	"Last Universal Common Ancestor"	5.522	1087	775316	0.0464336	66	26	24	42	42	945	673	1013	0.0490092	0.000353857	0.915
673	BRAF	1	"Last Universal Common Ancestor"	4.71616	137	24364.8	0.103049	46	6	30	42	42	951	673	1018	0.0251962		0.209
675	BRCA2	0	"Last Universal Common Ancestor"	7.0568	199	162681	0.04147	14	12	2	9	9		647	902	0.0516871		0.635
676	BRDT	0	Eukaryotes	0.18018	7	18.7174	0.142857	0	2	1	2	2	953	23	32	0.0564318	0.00175254	0.657
677	ZFP36L1	0	Eukaryotes	2.35507	21	458.632	0.12381	4	96	30	43	43	956	645	967	0.031122	0.001638	0.598
678	ZFP36L2	0	Eukaryotes	1.09389	195	90238.9	0.0657679	1	45	30	43	43		675	1019	0.0445344	0.00134953	0.285
688	KLF5	0	"Last Universal Common Ancestor"	5.93804	58	3364.16	0.249244	1	10	29	37	37	966	571	797	0.0291758	0.00145879	0.437
694	BTG1	1	"Last Universal Common Ancestor"	0.266904	25	693.385	0.116667	1	86	30	43	43		674	1016	0.0214425	0.00584795	0.738
695	BTK	0	"Last Universal Common Ancestor"	0.0896861	120	22854.4	0.0946779	29	6	22	39	39	954	94	128	0.01443		0.103
701	BUB1B	0	"Last Universal Common Ancestor"	55.8634	112	7938.01	0.118082	19	4	6	19	19		673	1018	0.0666667		0.58
710	SERPING1	0	"Last Universal Common Ancestor"	0.177936	33	5717.41	0.0719697	5	38	30	40	40	947	156	262	0.02		0.322
718	C3	0	"Last Universal Common Ancestor"	0.0918274	109	44618	0.0472307	30	117	30	40	40	950	314	462	0.0420926	0.000601323	0.305
719	C3AR1	0	Vertebrates	0	98	9213.79	0.038502	3	0	29	40	40	948	53	122	0.0739972	0.000691563	1.585
730	C7	0	Metazoans	0.177936	6	1120.05	0	5	10	29	35	35	929	12	32	0.0834322	0.000790826	0.904
738	VPS51	0	"Last Universal Common Ancestor"	28.4364	87	6329.41	0.159316	4	22	30	43	43	943	675	1019	0.0664962	0.000426257	0.924
744	MPPED2	1	"Last Universal Common Ancestor"	0	19	1685.8	0.0292398	0	2	16	24	24	942	78	75	0.047619	0.00340136	0.199
773	CACNA1A	0	"Last Universal Common Ancestor"	0.0892857	100	26475.4	0.0111111	2	59	7	9	9	962	81	143	0.0277335	0.000398089	0.134
774	CACNA1B	0	"Last Universal Common Ancestor"	0.0890472	16	266.456	0.0583333	1	24	3	4	4	948	66	115	0.0531566	0.000427533	0.24
775	CACNA1C	0	"Last Universal Common Ancestor"	0.532387	25	6445.95	0.14	1	46	25	21	21	936	69	155	0.0394717	0.000900495	0.102
776	CACNA1D	0	"Last Universal Common Ancestor"	0	6	504.563	0	0	1	15	22	22	938	124	148	0.0533394	0.00061134	0.214
777	CACNA1E	0	"Last Universal Common Ancestor"	0.0890472	4	24.1673	0.166667	0	13	3	6	6	952	22	37	0.0397752	0.000864678	0.124
781	CACNA2D1	0	"Last Universal Common Ancestor"	0	64	14569.3	0.0228175	0	10	27	33	33	947	303	466	0.039589	0.00211544	0.245
